"PlayerName","Team","POS","ADP","PA","mRBI","mR","mSB","mHR","mOBP","PTS","aPOS","Dollars"
"Mike Trout","Angels","OF","1.1","595","$6.8","$11.7","$6.1","$9.6","$22.0","$56.3","$11.8","$69.1"
"Mookie Betts","Red Sox","OF","1.9","666","$5.9","$14.2","$10.7","$4.1","$9.9","$44.8","$11.8","$57.6"
"Jose Ramirez","Indians","3B","4.0","656","$7.5","$7.7","$9.4","$3.2","$7.1","$34.9","$11.8","$47.7"
"Bryce Harper","Phillies","OF","17.7","613","$6.2","$6.1","$0.6","$9.4","$11.5","$33.9","$11.8","$46.7"
"Giancarlo Stanton","Yankees","OF/DH","21.5","598","$13.1","$6.4","($4.0)","$16.3","$1.7","$33.3","$11.8","$46.2"
"J.D. Martinez","Red Sox","OF/DH","5.6","591","$11.7","$5.5","($3.3)","$9.5","$5.8","$29.1","$11.8","$42.0"
"Gary Sanchez","Yankees","C","55.3","492","($1.0)","($4.6)","($4.4)","$3.1","($4.7)","($11.7)","$52.4","$41.7"
"Nolan Arenado","Rockies","3B","7.2","653","$11.8","$7.8","($3.8)","$10.2","$2.7","$28.6","$11.8","$41.4"
"Francisco Lindor","Indians","SS","15.6","651","$3.5","$8.9","$7.2","$4.3","$2.8","$26.6","$10.5","$38.1"
"Aaron Judge","Yankees","OF","15.1","619","$5.0","$6.8","($1.2)","$9.1","$5.2","$25.0","$11.8","$37.8"
"Christian Yelich","Brewers","OF","6.9","637","$2.9","$6.8","$3.9","$2.2","$8.5","$24.4","$11.8","$37.2"
"Yasmani Grandal","Brewers","C","122.4","496","($4.7)","($7.0)","($4.4)","($0.7)","($0.6)","($17.3)","$52.4","$36.1"
"Anthony Rizzo","Cubs","1B","37.2","640","$5.4","$6.5","($1.4)","$4.6","$9.6","$24.7","$10.3","$36.0"
"J.T. Realmuto","Phillies","C","46.7","535","($2.5)","($5.3)","($2.7)","($2.9)","($4.6)","($17.9)","$52.4","$35.5"
"Rhys Hoskins","Phillies","OF","39.5","644","$8.2","$4.6","($2.4)","$9.8","$1.2","$21.4","$11.8","$34.2"
"Ronald Acuna Jr.","Braves","OF","8.7","652","$1.2","$6.7","$9.8","$3.6","$0.0","$21.2","$11.8","$34.0"
"Paul Goldschmidt","Cardinals","1B","18.4","644","$3.7","$4.9","$1.0","$2.2","$9.7","$21.6","$10.3","$32.9"
"Juan Soto","Nationals","OF","35.4","601","$3.5","$3.8","($1.7)","$2.7","$11.0","$19.3","$11.8","$32.1"
"Kris Bryant","Cubs","3B/OF","32.0","626","$3.1","$5.8","($1.6)","$3.3","$8.7","$19.2","$11.8","$31.9"
"Alex Bregman","Astros","3B/SS","13.8","649","$4.7","$7.2","$1.0","$1.5","$6.0","$20.4","$10.5","$31.9"
"Jose Altuve","Astros","2B","14.2","649","$0.6","$4.9","$5.6","($5.6)","$5.5","$11.1","$19.7","$31.7"
"Freddie Freeman","Braves","1B","21.0","646","$5.1","$4.9","($0.8)","$2.2","$8.3","$19.8","$10.3","$31.1"
"Trea Turner","Nationals","SS","7.1","658","($4.4)","$7.0","$20.8","($5.5)","$0.8","$18.7","$10.5","$30.2"
